ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class,source_file,is_attack
1046,78,96,240,8,1,10,128,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1109,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1045,0,0,4,254,15,255,15,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
610,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
125,0,0,252,48,0,63,255,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
514,28,251,16,0,64,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
949,255,253,255,253,255,253,255,253,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
950,8,0,11,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1045,0,0,52,242,15,255,15,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
532,0,0,0,0,0,0,250,80,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1126,0,88,88,248,96,32,32,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
753,0,0,81,16,0,254,1,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
118,62,128,66,128,15,255,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
950,8,0,3,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
531,255,255,8,127,47,7,255,80,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
951,0,0,3,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1002,0,0,0,0,0,0,96,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
514,28,249,32,0,64,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
967,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1046,66,96,252,8,1,10,128,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1072,131,0,7,52,100,5,18,147,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
939,18,0,0,0,64,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1045,0,0,12,252,15,255,15,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
951,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1046,64,96,254,8,1,10,128,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1046,73,96,245,8,1,10,128,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
512,0,0,130,79,130,79,240,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
817,192,0,232,38,10,0,0,2,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
951,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
532,0,0,0,0,0,0,250,80,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1046,71,96,247,8,1,10,128,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
950,8,0,7,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
376,0,0,2,0,2,84,194,84,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1045,0,0,36,246,15,255,15,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
125,0,0,254,16,0,63,255,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1034,192,0,0,5,14,24,186,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1057,6,0,21,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
125,0,0,241,224,0,63,255,255,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
951,0,0,2,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1200,255,0,128,0,224,0,40,236,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
936,1,0,39,16,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
1002,0,0,0,0,0,0,96,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
951,0,0,2,0,0,0,0,0,BENIGN,BENIGN,BENIGN,decimal_benign.csv,0
